Solution Name,Description,Job Levels,Languages,Assessment Length
ASP .NET with C# (New),"Multi-choice test that measures the knowledge of .NET framework and controls, C# fundamentals, OOPs concepts and advanced topics such as data access components, state management and security services","Mid-Professional, Professional Individual Contributor",English (USA),13
ASP.NET 4.5,"The ASP.NET 4.5 test measures knowledge of programming in the ASP.NET environment. Designed for experienced developers, but an average performer in this role should pass this test. This test includes the following topics: .NET Framework, Client-Side Programming, Data Access, Enhanced Runtime Features, Portals, Services and Mobile, Security, Troubleshooting and Optimization, Web Applications, and Web Forms","Mid-Professional, Professional Individual Contributor",English (USA),30
Assessment and Development Center Exercises,"SHL offers a comprehensive range of Assessment and Development Centre exercise in digital format, for remote assessment through our Virtual Assessment and Development Centre platform.We offer a wide range of exercise types including group exercise, role plays, analysis presentations and written exercises.Exercises are available across a wide range of job levels and industry contexts.Contact SHL to find out more","Director, Entry-Level, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor","English International, English (USA)",Approximate Completion Time in minutes = Variable
Automata - Fix (New),"A simulated compiler integrated test to measure debugging skills in C, C++ and Java. The test checks the ability to fix logical or syntactical errors and to reuse an existing code.Your use of this assessment product may be subject to New York City Law 144 (Regulation of the Use of Automated Employment Decision Tools) (dated July 5, 2023). Compliance with Law 144 is your responsibility.
Read more on https://www.shl.com/legal/shl-us-regulatory-compliance/",Mid-Professional,English (USA),20
Automata - SQL (New),"A simulated query writing test that measures the ability to write SQL queries to perform DDL, DML and DCL tasks","Mid-Professional, Professional Individual Contributor",English (USA),30
Automata (New),"An AI-powered coding simulation assessment that evaluates candidate’s programming ability. Offers a familiar IDE environment available in over 40 different programming languages and tests candidates using real-world coding problems.Your use of this assessment product may be subject to New York City Law 144 (Regulation of the Use of Automated Employment Decision Tools) (dated July 5, 2023). Compliance with Law 144 is your responsibility.
Read more on https://www.shl.com/legal/shl-us-regulatory-compliance/","Mid-Professional, Professional Individual Contributor",English (USA),45
Automata Data Science (New),A simulated test that measures the ability to analyze and modify data using machine learning algorithms to obtain desirable results,"Mid-Professional, Professional Individual Contributor",English (USA),60
Automata Data Science Pro (New),A simulated test that measures the ability to analyze and modify data using machine learning algorithms to obtain desirable results,"Professional Individual Contributor, Mid-Professional",English (USA),60
Automata Front End,"Simulation based test that measures the front-end development capabilities using HTML, CSS, and
JavaScript. The candidate is provided with 3 different sections to code in HTML, CSS and JavaScript respectively and a separate output section to view the output. This simulation is then manually scored","Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor, Manager",English (USA),30
Automata Pro (New),"An AI-powered coding simulation assessment that evaluates candidate’s programming ability. Offers a familiar IDE environment available in over 40 different programming languages and tests candidates using real-world coding problems.Your use of this assessment product may be subject to New York City Law 144 (Regulation of the Use of Automated Employment Decision Tools) (dated July 5, 2023). Compliance with Law 144 is your responsibility.
Read more on https://www.shl.com/legal/shl-us-regulatory-compliance/","Mid-Professional, Professional Individual Contributor",English (USA),60
Automata Selenium,A coding simulation assessment that evaluates the ability to conduct tasks related to automation testing using Selenium scripts,"Entry-Level, Graduate, Manager, Mid-Professional, Professional Individual Contributor",English (USA),60
Automation Anywhere RPA Development (New),"Multi-choice test that measures the knowledge of Automation Anywhere dash board and task editor, control room, key commands, bots and Automation Anywhere client","Mid-Professional, Professional Individual Contributor",English (USA),8
Automotive Engineering (New),"Multi-choice test that measures the knowledge of auto engine classification, engine fuel system, auto-vehicle technology, maintenance, inspection and troubleshooting","Graduate, Mid-Professional, Professional Individual Contributor",English (USA),13
Basic Biology (New),Multi choice test that measures the candidate's basic understanding of Biology,"Professional Individual Contributor, Graduate, Mid-Professional",English (USA),6
Basic Computer Literacy (Windows 10) (New),"The Basic Computer Literacy (Windows 10) simulation measures knowledge of general computer terminology, processes, and applications and the ability to perform certain operations in a simulated environment resembling the actual application. This simulation consists of both multiple choice and simulation-based questions, and includes the following topics: Application Software, Computer Terms, Internet and Email, Managing Files, Operating System, and Parts of the Computer",Entry-Level,English (USA),30
Basic Statistics (New),"Multi-choice test that measures the knowledge of statistical methods, exploratory analysis, basics of probability, standard distributions and statistical testing","Graduate, Mid-Professional, Professional Individual Contributor",English (USA),10
Biochemistry (New),"Multi-choice test that measures the knowledge of various bio-molecules like amino acids, proteins, enzymes, carbohydrates, vitamins and nucleic acids, and concepts of bioenergetics and metabolism","Graduate, Mid-Professional, Professional Individual Contributor",English (USA),8
Biotech Lab Techniques (New),"Multi-choice test that measures the knowledge of biophysical techniques, bio-processing and separation techniques like chromatography and electrophoresis","Graduate, Professional Individual Contributor, Mid-Professional",English (USA),5
BizTalk (New),"Multi-choice test that measures the knowledge of BizTalk architecture, pipelines, adapters, business process techniques and BizTalk administration","Mid-Professional, Professional Individual Contributor",English (USA),16
Business Communication (adaptive),"This is an adaptive test that measures knowledge of communicating in the workplace. It measures the skills necessary to communicate effectively with coworkers at all levels and with external business contacts. Designed for the average business worker, this test includes the following topics: Electronic Communication, Employment Communication, Listening, Meetings, Nonverbal Communication, Verbal Communication, and Written Communication","Entry-Level, Front Line Manager, Manager, Mid-Professional, Professional Individual Contributor",English (USA),24
Business Communications,"This test measures the candidate's knowledge of communicating in the workplace.  It measures the skills necessary to communicate effectively with coworkers at all levels and with external business contacts. Designed for the average business worker, this test includes the following topics: Electronic Communication, Employment Communication, Listening, Meetings, Nonverbal Communication, Verbal Communication, and Written Communication. This version of the test is not adaptive",N/A,English (USA),35
C Programming (New),"Multi-choice test that measures the knowledge of C programming basics, functions, arrays, composed data types, and advanced C concepts like SLF, file handling and dynamic memory","Mid-Professional, Professional Individual Contributor",English (USA),10
C# Programming (New),"Multi-choice test that measures the knowledge of C# programming structure, functions, collections, enumeration, exception handling, OOPs constructs, inheritance, event handling and operator overloading","Mid-Professional, Professional Individual Contributor",English (USA),9
C++ Programming (New),Multi-choice test that measures the knowledge of programming in the C++ language and the ability to use the C++ standard library to write code,"Mid-Professional, Professional Individual Contributor",English (USA),10
Cardiology and Diabetes Management (New),"Multi-choice test that measures the knowledge of how to control and manage cardiovascular diseases and diabetes, and understanding of the diagnostic tests used for them","Graduate, Mid-Professional, Professional Individual Contributor",English (USA),4
Ceramic Engineering (New),"Multi-choice test that measures the knowledge of classification of ceramic materials, production of ceramics and thermodynamics","Graduate, Mid-Professional, Professional Individual Contributor",English (USA),12
Chemical Engineering (New),"Multi-choice test that measures the conceptual knowledge of transport phenomena, chemical process engineering and technology, chemical process principles, stoichiometry and process calculations","Graduate, Mid-Professional, Professional Individual Contributor",English (USA),13
Cisco AppDynamics (New),"Multi-choice test that measures the knowledge of application analytics, performance management, and AppDynamics essentials like controller UI, custom dashboard, reports and monitoring","Mid-Professional, Professional Individual Contributor",English (USA),9
Civil Engineering (New),"Multi-choice test that measures the knowledge of structural engineering, transportation engineering, surveying, geotechnical engineering and water resources engineering","Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor",English (USA),10
Cloud Computing (New),"Multi-choice test that measures the knowledge of cloud computing concepts, cloud service models, virtualization and private clouds","Mid-Professional, Professional Individual Contributor",English (USA),8
COBOL Programming (New),"Multi-choice test that measures the knowledge of COBOL programming fundamentals, programming structure and different types of application processing","Mid-Professional, Professional Individual Contributor",English (USA),10
Computer Science (New),"Multi-choice test that measures the knowledge of operating system, computer architecture, DBMS and basics of computer networks and communication","Mid-Professional, Professional Individual Contributor",English (USA),12
Contact Center Call Simulation (New),Simulation based test that measures the ability to handle customer concerns over a call by referring to standard process documents. It also measures typing and documentation skills,Entry-Level,English (USA),15
Conversational Multichat Simulation,"This is a simulation-based test that measures the ability to handle customer concerns over multiple chats by referring to standard process documents. It provides an open-ended chat environment that assesses the candidate’s skills in a real job setting. Candidates are scored based on whether they resolved the customer’s query, the amount of time taken, and the correct use of vocabulary and grammar in their response",N/A,English (USA),11
Core Java (Advanced Level) (New),"Multi-choice test that measures the knowledge of basic Java constructs, OOP concepts, files and exception handling, and advanced Java concepts like generics, collections, threads, strings and concurrency","Mid-Professional, Professional Individual Contributor",English (USA),13
Core Java (Entry Level) (New),"Multi-choice test that measures the knowledge of basic Java constructs, OOP concepts, file handling, exception handling, threads, generic class and inner class","Mid-Professional, Professional Individual Contributor",English (USA),13
Count Out The Money,The Count out the Money –US test measures a candidate’s money handling ability. This test is designed for entry-level positions where handling money is required on a regular basis,Entry-Level,"English (USA), English (Australia), English (Canada), English International, English (South Africa)",5
CSS3 (New),Multi-choice test that measures the knowledge of CSS3 and its application in providing style to web documents,"Mid-Professional, Professional Individual Contributor",English (USA),8
Culinary Skills (New),"Multi-choice test that measures the knowledge of cooking principles, cooking equipment, meal preparation and presentation, and kitchen safety","Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor",English (USA),7
Customer Service Phone Simulation,"As part of Contact Center Simulations, the Customer Service Phone Simulation is designed for entry-level positions in a contact center environment. Sample tasks for these jobs include: verify the customer or account; take ownership of customer issues; interact with customers to provide information; respond positively to difficult, irate, or confused customers; listen attentively to callers; resolve calls in a timely manner; navigate within multiple information menus to view customer account details and process information; and type information quickly and accurately. Potential job titles that use this solution are: Call Center Representative, Contact Center Representative, Contact Center Agent, Customer Service Agent, Customer Service Representative, and Customer Advocate.""Please note that for Simplified Chinese version the audio is available in both Mandarin and Cantonese.""",Entry-Level,"French (Canada), Portuguese (Brazil), Dutch, Italian, Spanish, French, Latin American Spanish, Chinese Simplified, English (Australia), English International, English (USA)",20
Customer Service Phone Solution,"As part of Contact Center Simulations, the Customer Service Phone Solution includes a contact center simulation and two behavioral tests designed to measure a wide range of skills, competencies, and behavioral tendencies relevant for contact center jobs. The Contact Center Simulation provides an opportunity for candidates to interact with simulated customers in a contact center environment. Designed to measure a candidate’s ability to listen attentively to the customer, take ownership of customer issues, resolve issues, navigate to find information, and enter information accurately, the Contact Center Simulation is intended to measure how a candidate will respond in a variety of customer situations and assess the candidate’s computer skills in a contact center setting. The behavioral tests in this solution are intended to measure the candidate’s learning potential and the tendency to meet goals and work hard, even when faced with obstacles. Collectively, the assessments in this solution measure a wide range of important skills, abilities, and behaviors for entry-level contact center roles.""Please note that for Simplified Chinese version the audio is available in both Mandarin and Cantonese.""",Entry-Level,"French (Canada), Italian, French, Dutch, Spanish, Portuguese (Brazil), Chinese Simplified, English (Australia), Latin American Spanish, English (USA), English International",30
Cyber Risk (New),"Multi-choice test that measures the knowledge of cyber risk management, system and application security, network security and security management","Manager, Mid-Professional, Professional Individual Contributor, Supervisor",English (USA),9
Data Entry (New),Simulated data entry test that measures the ability to accurately transcribe data from pre-filled forms and the ability to verify pre-filled data,Entry-Level,English (USA),4
Data Entry Alphanumeric Split Screen - US,"The Data Entry Alphanumeric Split Screen - US assessment measures speed and accuracy at typing text and numbers into forms. The information includes business-related text and numbers such as invoice number, address, product number and amount. The test assesses for speed and accuracy","Professional Individual Contributor, Mid-Professional, Front Line Manager, Entry-Level",English (USA),5
Data Entry Numeric Split Screen - US,"The Data Entry Numeric Split Screen - US assessment measures speed and accuracy at typing numbers into forms. The information candidates must enter includes business-related records including number fields such as customer number, order number, item number and quantity. Candidates may use either the keyboard's numeric keypad or the number keys at the top of the keyboard","Mid-Professional, Professional Individual Contributor, Entry-Level, Front Line Manager",English (USA),5
Data Entry Ten Key Split Screen,Data Entry Ten Key Split Screen assessment measures ability to enter numbers using a numeric keypad. The test measures accuracy and speed,"Entry-Level, Front Line Manager, Mid-Professional, Professional Individual Contributor",English (USA),3
Data Science (New),"Multi-choice test that measures the conceptual knowledge on how to use machine learning to analyze data, extract information, draw conclusions and make statistically-driven decisions","Mid-Professional, Professional Individual Contributor",English (USA),14
Data Warehousing Concepts,"The Data Warehousing Concepts test measures knowledge of Data Warehousing. Designed for experienced users, this test covers the following topics: Big Data and Data Warehouse Appliance, Business Considerations, Data Transformation, Data Warehousing and Data Marts, Design, Dimensional Data Model, On Line Analytical Processing (OLAP), Querying and Reporting/Data Extraction","Mid-Professional, Professional Individual Contributor",English (USA),25
Dependability and Safety Instrument (DSI),"The DSI is a short pre-screening tool for many key entry-level roles. It is designed to identify potential employees who will have good dependability and reliability, and who are less likely to engage in counter-productive work behaviors.

Note: Turkish [end June 2012] and Romanian [end May 2013] are on limited beta relase",Entry-Level,"Portuguese (Brazil), Chinese Traditional, Danish, Dutch, Finnish, French, German, Icelandic, Chinese Simplified, English International, Italian, Latin American Spanish, Polish, Swedish, English (USA), Norwegian, Russian",10
Dermatology (New),"Multi-choice test that measures the knowledge of various diseases related to skin, their symptoms, the drugs used to treat them, and different terminologies used in the field of dermatology","Graduate, Mid-Professional, Professional Individual Contributor",English (USA),3
Desktop Support (New),"Multi-choice test that measures the knowledge of networking, peripheral components, operating systems, troubleshooting and providing technical support","Graduate, Mid-Professional, Professional Individual Contributor",English (USA),8
Digital Advertising (New),Multi-choice test that measures the candidate's knowledge about use of AdWords and tools to analyze ad performance on digital media,"Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor",English (USA),7
Digital Readiness Development Report - IC,"This participant-oriented report is aimed at individual contributors (non-managerial) and summarizes the way that they have described their typical style at work and is interpreted against SHL's Digital Readiness Framework. The report describes the way the person typically behaves, rather than their actual skill levels. It gives an indication of the individual's likely strengths in each area and makes suggestions for development activities, based upon the information gained from the
questionnaire.Note: this report is specifically aimed at Individual Contributors. A version designed for Managers is also available (seeDigital Readiness Report - Managers)","Director, Entry-Level, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor",N/A,N/A
Digital Readiness Development Report - Manager,"This participant-oriented report is aimed employees with management responsibilities and summarizes the way that they have described their typical style at work and is interpreted against SHL's Digital Readiness Framework. The report describes the way the person typically behaves, rather than their actual skill levels. It gives an indication of the individual's likely strengths in each area and makes suggestions for development activities, based upon the information gained from the
questionnaire.Note: this report is specifically aimed at managers. A version designed for individual contributors is also available (seeDigital Readiness Report - IC)","Entry-Level, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Supervisor, Director",N/A,N/A
Docker (New),"Multi-choice test that measures the knowledge of Docker container, data management, Docker performance and swarm","Mid-Professional, Professional Individual Contributor",English (USA),10
Dojo (New),"Multi-choice test that measures the knowledge of Dojo architecture, classes and libraries, styles, animation and Dojo queries","Mid-Professional, Professional Individual Contributor",English (USA),11
Drupal (New),"Multi-choice test that measures the knowledge of Drupal setup, content management, user interface, module development and security","Mid-Professional, Professional Individual Contributor",English (USA),17
DSI v1.1 Interpretation Report,DSI v1.1 Interpretation Report,N/A,"Portuguese (Brazil), Dutch, Finnish, French, Latin American Spanish, Norwegian, Swedish, English (USA), English International, Chinese Simplified, Chinese Traditional, Danish, German, Icelandic, Italian, Russian",N/A
Econometrics (New),"Multi-choice test that measures the knowledge of statistical concepts, exploratory analysis and statistical testing required to analyze economic data","Graduate, Mid-Professional, Professional Individual Contributor",English (USA),11
Economics (New),"Multi-choice test that measures the conceptual knowledge of microeconomics, macroeconomics and international trade","Graduate, Mid-Professional, Professional Individual Contributor",English (USA),13
Electrical and Electronics Engineering (New),"Multi-choice test that measures the candidate’s knowledge and understanding on fundamentals of electrical engineering, instrumentation and control system and electronics","Graduate, Mid-Professional, Professional Individual Contributor",English (USA),14
Electrical Engineering (New),"Multi-choice test that measures the knowledge of basic electrical engineering, electrical machines, power systems, instrumentation, control systems and basic concepts of electronics","Graduate, Mid-Professional, Professional Individual Contributor",English (USA),8
Electronics & Telecommunications Engineering (New),"Multi-choice test that measures the candidate’s knowledge and understanding on semiconductors and semiconductor devices, analog and digital electronics, communication, electromagnetism and microwave engineering","Graduate, Mid-Professional, Professional Individual Contributor",English (USA),15
Electronics and Embedded Systems Engineering (New),"Multi-choice test that measures the candidate’s knowledge and understanding on concepts like embedded systems and, analog and digital electronics","Graduate, Mid-Professional, Professional Individual Contributor",English (USA),18
Electronics and Semiconductor Engineering (New),"Multi-choice test that measures the knowledge of semiconductors, two terminal and three terminal devices, analog electronics, digital electronics and basics of VLSI","Graduate, Mid-Professional, Professional Individual Contributor",English (USA),7
English Comprehension (New),"Multiple-choice test that measures vocabulary, grammar and reading comprehension skills",Entry-Level,English (USA),0
Enterprise Java Beans (New),"Multi-choice test that measures the knowledge of enterprise Java beans (EJB), types of EJB, transactions and concurrency","Mid-Professional, Professional Individual Contributor",English (USA),4
Enterprise Leadership Report 1.0,"Assess and benchmark your leaders against enterprise leadership - the model for leader impact to drive business results in a complex work environment.
For more information, visit: 
https://www.shl.com/en/solutions/identify-develop-leaders/enterprise-leadership/ ","Director, Executive, Manager, Mid-Professional",N/A,N/A
Enterprise Leadership Report 2.0,"Assess and benchmark your leaders against enterprise leadership - the model for leader impact to drive business results in a complex work environment.
For more information, visit: 
https://www.shl.com/en/solutions/identify-develop-leaders/enterprise-leadership/ ","Director, Executive, Manager, Mid-Professional",N/A,N/A
Entry Level Cashier Solution,"The Precise Fit Entry Level Cashier Solution is for entry-level retail positions in which employees receive payment in the form of cash, check, or credit cards for goods purchased. Sample tasks for these jobs include, but are not limited to: handling payments, offering customer service, and issuing receipts and refunds.Report Language Availability:English (USA)",Entry-Level,"English (USA), English International, French (Canada), German, Italian, French, Dutch, Norwegian, Finnish, Swedish, Danish, Arabic, Chinese Simplified, Latin American Spanish",19
Entry Level Customer Serv-Retail & Contact Center,"The Precise Fit Entry Level Customer Service Solution (Retail/Contact Center) is for entry-level positions in which employees interact with customers by providing information or carrying out customer requests related to an organizations products or services. Sample tasks for these jobs include, but are not limited to: interacting with customers on the phone or in person; taking orders; solving product or service issues; and responding positively to difficult or irate customers.Report Language Availability:English (USA)",Entry-Level,"Latin American Spanish, German, French, Chinese Simplified, Swedish, Arabic, English International, English (USA), French (Canada), Italian, Dutch, Norwegian, Finnish, Danish",19
Entry Level Customer Service (General) Solution,"The Precise Fit Entry Level Customer Service Solution (General) is for a wide range of entry-level positions where employees are expected to interact with customers when carrying out critical tasks of the job. This includes positions that require frequent interactions with customers, or positions where customer service is not central to the role, but is still essential for successful performance on the job. Sample tasks for these jobs include, but are not limited to: interacting with customers on the phone to provide information; taking orders; solving product or service issues; and responding positively to difficult or irate customers.Report Language Availability:English (USA)",Entry-Level,"English (USA), English International, French (Canada), Italian, Dutch, Norwegian, Finnish, Danish, Latin American Spanish, German, French, Chinese Simplified, Swedish, Arabic",14
Entry Level Hotel Front Desk Solution,"The Precise Fit Entry Level Hotel Front Desk Solution is for entry-level customer service positions in the hospitality industry. The solution is appropriate for positions in which the majority of the work is done at the front or guest check-in desk. Sample tasks may include: welcoming guests warmly, issuing keys to guests, and accepting payment.Report Language Availability:English (USA)",Entry-Level,"French (Canada), Italian, French, Chinese Simplified, Swedish, Arabic, English (USA), English International, Latin American Spanish, German, Dutch, Norwegian, Finnish, Danish",20
Entry Level Sales Solution,"The Precise Fit Entry Level Sales Roles Solution is for entry-level positions in which employees proactively sell products or services to customers and have their compensation and/or performance based on sales revenue. Sample tasks for these jobs include, but are not limited to: promoting products to customers, persuading customers to buy products, and completing a transaction with a customer.Report Language Availability:English (USA)",Entry-Level,"German, Italian, Chinese Simplified, Finnish, Danish, English (USA), English International, Latin American Spanish, French (Canada), French, Dutch, Norwegian, Swedish, Arabic",20
Entry Level Technical Support Solution,"The Precise Fit Entry Level Technical Support Solution is for entry-level positions in which employees provide technical assistance to computer users in a contact center environment. Sample tasks for these jobs include, but are not limited to: answer questions or resolve computer problems for clients in person, via telephone, or electronically, provide assistance concerning the use of computer hardware and software, including printing, installation, word processing, electronic mail, and
operating systems.Report Language Availability:English (USA)",Entry-Level,"Latin American Spanish, German, Chinese Simplified, Finnish, Danish, English (USA), English International, French (Canada), Italian, French, Dutch, Norwegian, Swedish, Arabic",18
ETL Testing (New),"Multi-choice test that measures the knowledge of ETL architecture, data warehousing, dimensions, DBMS concepts like data manipulation, constraints, ETL testing and tools required for testing","Mid-Professional, Professional Individual Contributor",English (USA),9
Executive Scenarios,"Executive Scenarios is a unique test of Managerial Judgement - an individual’s ability to decide on effective ways of handling real life situations. It is specifically designed to assess judgement in Executives; a group who typically has significant work experience to draw on. It consists of hypothetical scenarios, each followed by several possible responses. Candidates rate the effectiveness of each response, using a 6-point scale, from highly undesirable to highly desirable. It can be used for recruitment, selection, training and development, performance management and coaching in a variety of functions and industries.

Reports available: 

Executive Scenarios Narrative Report:  A participant focused report that contains;  
 - Executive Scenarios profile
 - VERY detailed narrative feedback of each of the 4 scales;  Managerial Judgement, Managing Objectives, People Management and Reputation Management.
 - Development tips for each of the 6 style scales;  Leading and Managing the work, Using external help, One-to-one, Workforce, Organisational support, Commercial support.

Executive Scenarios Profile: Displays all scores on these scales in terms of four types of norm system; T-scores, Percentiles, Stens and Grades","Director, Executive, Manager","Italian, English (USA), English International, Korean",Approximate Completion Time in minutes = Untimed
Executive Scenarios Narrative Report,"Executive Scenarios is a unique test of Managerial Judgement - an individual’s ability to decide on effective ways of handling real life situations. It is specifically designed to assess judgement in Executives; a group who typically has significant work experience to draw on. It consists of hypothetical scenarios, each followed by several possible responses. Candidates rate the effectiveness of each response, using a 6-point scale, from highly undesirable to highly desirable. It can be used for recruitment, selection, training and development, performance management and coaching in a variety of functions and industries.

Reports available: 

Executive Scenarios Narrative Report:  A participant focused report that contains;  
 - Executive Scenarios profile
 - VERY detailed narrative feedback of each of the 4 scales;  Managerial Judgement, Managing Objectives, People Management and Reputation Management.
 - Development tips for each of the 6 style scales;  Leading and Managing the work, Using external help, One-to-one, Workforce, Organisational support, Commercial support.

Executive Scenarios Profile: Displays all scores on these scales in terms of four types of norm system; T-scores, Percentiles, Stens and Grades","Director, Executive, Manager",N/A,N/A
Executive Scenarios Profile Report,"Executive Scenarios is a unique test of Managerial Judgement - an individual’s ability to decide on effective ways of handling real life situations. It is specifically designed to assess judgement in Executives; a group who typically has significant work experience to draw on. It consists of hypothetical scenarios, each followed by several possible responses. Candidates rate the effectiveness of each response, using a 6-point scale, from highly undesirable to highly desirable. It can be used for recruitment, selection, training and development, performance management and coaching in a variety of functions and industries.

Reports available: 

Executive Scenarios Narrative Report:  A participant focused report that contains;  
 - Executive Scenarios profile
 - VERY detailed narrative feedback of each of the 4 scales;  Managerial Judgement, Managing Objectives, People Management and Reputation Management.
 - Development tips for each of the 6 style scales;  Leading and Managing the work, Using external help, One-to-one, Workforce, Organisational support, Commercial support.

Executive Scenarios Profile: Displays all scores on these scales in terms of four types of norm system; T-scores, Percentiles, Stens and Grades","Director, Executive, Manager",N/A,N/A
