Solution Name,Remote Testing,Adaptive/IRT,Test Type,PDF Paths
Drupal (New),Yes,No,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Drupal_(New).pdf
DSI v1.1 Interpretation Report,Yes,No,P,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/DSI_Interpretation_Report_v2_English_International.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/DSI_Interpretation_Report_v2_Spanish_(North_America).pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/DSI_Interpretation_Report_v2_English_(US).pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/DSI_Interpretation_Report_v2_Chinese_Traditional.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/DSI_Interpretation_Report_v2_Chinese_Simplified.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/DSI_Interpretation_Report_v2_Danish.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/DSI_Interpretation_Report_v2_Dutch.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/DSI_Interpretation_Report_v2_Finnish.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/DSI_Interpretation_Report_v2_French.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/DSI_Interpretation_Report_v2_German.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/DSI_Interpretation_Report_v2_Italian.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/DSI_Interpretation_Report_v2_Norwegian.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/DSI_Interpretation_Report_v2_Polish.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/DSI_Interpretation_Report_v2_Romanian.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/DSI_Interpretation_Report_v2_Russian.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/DSI_Interpretation_Report_v2_Swedish.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/DSI_Interpretation_Report_v2_Icelandic.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/DSI_Interpretation_Report_v2_Portuguese_(Brazil).pdf
Econometrics (New),Yes,No,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Econometrics_(New).pdf
Economics (New),Yes,No,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Economics_(New).pdf
Electrical and Electronics Engineering (New),Yes,No,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Electrical_and_Electronics_Engineering_(New).pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/SHL_Electrical_and_Electronics_Engineering_(New)_Sample_Report.pdf
Electrical Engineering (New),Yes,No,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Electrical_Engineering_(New).pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/SHL_Electrical_Engineering_(New)_Sample_Report.pdf
Electronics & Telecommunications Engineering (New),Yes,No,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Electronics_and_Telecommunications_Engineering_(New).pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/SHL_Electronics_&_Telecommunications_Engineering_(New)_Sample_Report.pdf
Electronics and Embedded Systems Engineering (New),Yes,No,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Electronics_and_Embedded_Systems_Engineering_(New).pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/SHL_Electronics_and_Embedded_Systems_(new)_Sample_Report.pdf
Electronics and Semiconductor Engineering (New),Yes,No,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Electronics_and_Semiconductor_Engineering_(New).pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/SHL_Electronics_and_Semiconductor_(New)_Sample_Report.pdf
English Comprehension (New),Yes,No,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Language_Assessment_Flyer.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/English_Comprehension_(New).pdf
Enterprise Java Beans (New),Yes,No,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Enterprise_Java_Beans_(New).pdf
Enterprise Leadership Report 1.0,Yes,No,P,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Enterprise_Leadership_Report_Std_v1.0_English_International.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Enterprise_Leadership_Report_Std_v1.0_English_(US).pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Enterprise_Leadership_Report_Std_v1.0_Arabic.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Enterprise_Leadership_Report_Std_v1.0_Chinese_Simplified.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Enterprise_Leadership_Report_Std_v1.0_Dutch.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Enterprise_Leadership_Report_Std_v1.0_French.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Enterprise_Leadership_Report_Std_v1.0_German.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Enterprise_Leadership_Report_Std_v1.0_Italian.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/OPQ32_Enterprise_Leadership_Sample_Report_(Brazilian_Portuguese).pdf
Enterprise Leadership Report 2.0,Yes,No,P,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Enterprise_Leadership_Report_2.0_International_English.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Enterprise_Leadership_Report_2.0_Latin_American_Spanish.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Enterprise_Leadership_Report_2.0_US_English.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Enterprise_Leadership_Report_2.0_French.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Enterprise_Leadership_Report_2.0_German.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Enterprise_Leadership_Report_2.0__Italian.pdf
Entry Level Cashier Solution,Yes,No,C P,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Entry_Level_Cashier_-_Detailed_Report.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Entry_Level_Cashier_-_Development_Report.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Entry_Level_Cashier_-_Interview_Report.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Fact_Sheet_-_SHL_Entry_Level_Cashier_Solution.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Fact_Sheet_-_SHL_Entry_Level_Cashier_Solution_CHS.pdf
Entry Level Customer Serv-Retail & Contact Center,Yes,No,P C,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Precise_Fit_EntryLevel_CSS_(Retail_CC)_Fact_Sheet.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Entry_Level_Custom_Service_(Retail_and_Contact_Center)_-_Detailed_Report.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Entry_Level_Custom_Service_(Retail_and_Contact_Center)_-_Development_Report.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Entry_Level_Custom_Service_(Retail_and_Contact_Center)_-_Interview_Report.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Precise_Fit_EntryLevel_CSS_(Retail_CC)_Fact_Sheet_CHS.pdf
Entry Level Customer Service (General) Solution,Yes,No,C P,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Entry_Level_Customer_Service_(Gen)_-_Detailed_Report.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Entry_Level_Customer_Service_(Gen)_-_Development_Report.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Entry_Level_Customer_Service_(Gen)_-_Interview_Report.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Precise_Fit_EntryLevel_CSS_(Gen)_Fact_Sheet.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Precise_Fit_EntryLevel_CSS_(Gen)_Fact_Sheet_CHS.pdf
