Solution Name,Description,Job Levels,Languages,Assessment Length,Remote Testing,Adaptive/IRT,Test Type,Detail URL,PDF Paths
ASP .NET with C# (New),"Multi-choice test that measures the knowledge of .NET framework and controls, C# fundamentals, OOPs concepts and advanced topics such as data access components, state management and security services","Mid-Professional, Professional Individual Contributor",English (USA),13,Yes,No,K,https://www.shl.com/solutions/products/product-catalog/view/asp-net-with-c-new/,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/ASP.NET_with_C_Sharp_(New).pdf
ASP.NET 4.5,"The ASP.NET 4.5 test measures knowledge of programming in the ASP.NET environment. Designed for experienced developers, but an average performer in this role should pass this test. This test includes the following topics: .NET Framework, Client-Side Programming, Data Access, Enhanced Runtime Features, Portals, Services and Mobile, Security, Troubleshooting and Optimization, Web Applications, and Web Forms","Mid-Professional, Professional Individual Contributor",English (USA),30,Yes,Yes,K,https://www.shl.com/solutions/products/product-catalog/view/asp-net-4-5/,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Fact_Sheet-asp.net_4.5.pdf
Accounts Payable (New),"Multiple-choice test that measures the knowledge of processing payables and vendor invoices, and the posting of journal entries","Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor",English (USA),9,Yes,No,K,https://www.shl.com/solutions/products/product-catalog/view/accounts-payable-new/,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Accounts_Payable_(New).pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Accounts_Payable_(New)_Sample_Report.pdf
Accounts Payable Simulation (New),Simulated data entry test that measures the ability to process payables and vendor invoices,"Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor",English (USA),8,Yes,No,S,https://www.shl.com/solutions/products/product-catalog/view/accounts-payable-simulation-new/,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Accounts_Payable_Simulation_(New).pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Accounts_Payable_Simulation_(New)_Sample_Report.pdf
Accounts Receivable (New),Multiple-choice test that measures the knowledge of processing receivables and invoices,"Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor",English (USA),13,Yes,No,K,https://www.shl.com/solutions/products/product-catalog/view/accounts-receivable-new/,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Accounts_Receivable_(New).pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Accounts_Receivable_(New)_Sample_Report.pdf
Accounts Receivable Simulation (New),Simulated data entry test that measures the ability to process receivables and invoices,"Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor",English (USA),8,Yes,No,S,https://www.shl.com/solutions/products/product-catalog/view/accounts-receivable-simulation-new/,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Accounts_Receivable_Simulation_(New).pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Accounts_Receivable_Simulation_(New)_Sample_Report.pdf
Adobe Experience Manager (New),"Multi-choice test that measures the knowledge of AEM components, templates, workflows, AEM collections, OSGi services and troubleshooting of AEM projects","Mid-Professional, Professional Individual Contributor",English (USA),17,Yes,No,K,https://www.shl.com/solutions/products/product-catalog/view/adobe-experience-manager-new/,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Adobe_Experience_Manager_(New).pdf
Adobe Photoshop CC,"The Adobe Photoshop CC test measures knowledge of Adobe Photoshop CC. Designed for experienced users, this test covers the following topics: 3D, Color, File Management, Interface, Layers, Painting and Drawing, Retouch and Enhancements, Selection, Text, and Web","Mid-Professional, Professional Individual Contributor",English (USA),20,Yes,Yes,K,https://www.shl.com/solutions/products/product-catalog/view/adobe-photoshop-cc/,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Fact_Sheet-adobe_photoshop_cc.pdf
Aeronautical Engineering (New),"Multi-choice test that measures the knowledge of flight mechanics, space dynamics, aerodynamics, structures and propulsion","Graduate, Mid-Professional, Professional Individual Contributor",English (USA),10,Yes,No,K,https://www.shl.com/solutions/products/product-catalog/view/aeronautical-engineering-new/,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Aeronautical_Engineering_(New).pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/SHL_Aeronautical_Engineering_(New)_Sample_Report.pdf
Aerospace Engineering (New),"Multi-choice test that measures the conceptual knowledge of aerodynamics, aircraft systems and instrumentation, flight dynamics, space dynamics and avionics","Graduate, Mid-Professional, Professional Individual Contributor",English (USA),10,Yes,No,K,https://www.shl.com/solutions/products/product-catalog/view/aerospace-engineering-new/,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Aerospace_Engineering_(New).pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/SHL_Aerospace_Engineering_(New)_Sample_Report.pdf
Agile Software Development,"Multi-choice test that measures the knowledge of agile methodology, scrum, feature driven software development, incremental and iterative development and processes involved in agile software development",Graduate,English (USA),7,Yes,No,K,https://www.shl.com/solutions/products/product-catalog/view/agile-software-development/,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/sample_report.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Agile_Software_Development_Factsheet.pdf
Agile Testing (New),"Multi-choice test that measures the knowledge of tools, techniques and processes involved in the Agile testing methodology","Mid-Professional, Professional Individual Contributor",English (USA),13,Yes,No,K,https://www.shl.com/solutions/products/product-catalog/view/agile-testing-new/,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Agile_Testing_(New).pdf
Amazon Web Services (AWS) Development (New),"Multi-choice test that measures the knowledge of AWS delivery process, monitoring, metrics, logging, security, validation and scalability","Mid-Professional, Professional Individual Contributor",English (USA),6,Yes,No,K,https://www.shl.com/solutions/products/product-catalog/view/amazon-web-services-aws-development-new/,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Amazon_Web_Services_(AWS)_Development_(New).pdf
Android Development (New),"Multi-choice test that measures the knowledge of UI components for an Android device, services and alerts, animation and media apps, application components, security and testing","Mid-Professional, Professional Individual Contributor",English (USA),7,Yes,No,K,https://www.shl.com/solutions/products/product-catalog/view/android-development-new/,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Android_Development_(New).pdf
Angular 6 (New),"Multi-choice test that measures the knowledge of the basic components and modules of Angular 6 and concepts like data binding, dependency injection, CRUD with HTTP, typescript, routing and navigation","Mid-Professional, Professional Individual Contributor",English (USA),11,Yes,No,K,https://www.shl.com/solutions/products/product-catalog/view/angular-6-new/,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Angular_6_(New).pdf
AngularJS (New),"Multi-choice test that measures the knowledge of AngularJS architecture, forms, directives, filters, controllers, routing and testing","Mid-Professional, Professional Individual Contributor",English (USA),9,Yes,No,K,https://www.shl.com/solutions/products/product-catalog/view/angularjs-new/,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/AngularJS_(New).pdf
Apache HBase (New),"Multi-choice test that measures the knowledge of HBase concepts such as CAP theorem, ACID properties, HBase client API, MapReduce integration, configuration and administration","Mid-Professional, Professional Individual Contributor",English (USA),5,Yes,No,K,https://www.shl.com/solutions/products/product-catalog/view/apache-hbase-new/,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Apache_HBase_(New).pdf
Apache Hadoop (New),"Multi-choice test that measures the knowledge of basic concepts of Hadoop, commands, HDFS and MapReduce","Mid-Professional, Professional Individual Contributor",English (USA),7,Yes,No,K,https://www.shl.com/solutions/products/product-catalog/view/apache-hadoop-new/,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Apache_Hadoop_(New).pdf
Apache Hadoop Extensions (New),"Multi-choice test that measures the conceptual knowledge of Pig, Hive and HBase","Mid-Professional, Professional Individual Contributor",English (USA),9,Yes,No,K,https://www.shl.com/solutions/products/product-catalog/view/apache-hadoop-extensions-new/,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Apache_Hadoop_Extensions_(New).pdf
Apache Hive (New),"Multi-choice test that measures the knowledge of Hive architecture, datatypes, built-in functions, configurations, partitioning, bucketing and commands of Hive query language","Mid-Professional, Professional Individual Contributor",English (USA),5,Yes,No,K,https://www.shl.com/solutions/products/product-catalog/view/apache-hive-new/,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Apache_Hive_(New).pdf
Apache Kafka (New),"Multi-choice test that measures the knowledge of Apache Kafka architecture, components, clusters, performance tuning and advanced operations","Mid-Professional, Professional Individual Contributor",English (USA),6,Yes,No,K,https://www.shl.com/solutions/products/product-catalog/view/apache-kafka-new/,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Apache_Kafka_(New).pdf
Apache Pig (New),"Multi-choice test that measures the knowledge of Pig architecture, built-in operators, built-in functions and commands in PigLatin","Mid-Professional, Professional Individual Contributor",English (USA),6,Yes,No,K,https://www.shl.com/solutions/products/product-catalog/view/apache-pig-new/,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Apache_Pig_(New).pdf
Apache Spark (New),"Multi-choice test that measures the knowledge of Apache Spark principles, RDD operations - actions and transformations, lineage graphs and lazy evaluation","Mid-Professional, Professional Individual Contributor",English (USA),8,Yes,No,K,https://www.shl.com/solutions/products/product-catalog/view/apache-spark-new/,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Apache_Spark_(New).pdf
Assessment and Development Center Exercises,"SHL offers a comprehensive range of Assessment and Development Centre exercise in digital format, for remote assessment through our Virtual Assessment and Development Centre platform.We offer a wide range of exercise types including group exercise, role plays, analysis presentations and written exercises.Exercises are available across a wide range of job levels and industry contexts.Contact SHL to find out more","Director, Entry-Level, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor","English International, English (USA)",Approximate Completion Time in minutes = Variable,Yes,No,E,https://www.shl.com/solutions/products/product-catalog/view/assessment-and-development-center-exercises/,N/A
Automata (New),"An AI-powered coding simulation assessment that evaluates candidate’s programming ability. Offers a familiar IDE environment available in over 40 different programming languages and tests candidates using real-world coding problems.Your use of this assessment product may be subject to New York City Law 144 (Regulation of the Use of Automated Employment Decision Tools) (dated July 5, 2023). Compliance with Law 144 is your responsibility.
Read more on https://www.shl.com/legal/shl-us-regulatory-compliance/","Mid-Professional, Professional Individual Contributor",English (USA),45,Yes,No,S,https://www.shl.com/solutions/products/product-catalog/view/automata-new/,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Automata_(New).pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Automata_Sample_Detailed_Report.pdf
Automata - Fix (New),"A simulated compiler integrated test to measure debugging skills in C, C++ and Java. The test checks the ability to fix logical or syntactical errors and to reuse an existing code.Your use of this assessment product may be subject to New York City Law 144 (Regulation of the Use of Automated Employment Decision Tools) (dated July 5, 2023). Compliance with Law 144 is your responsibility.
Read more on https://www.shl.com/legal/shl-us-regulatory-compliance/",Mid-Professional,English (USA),20,Yes,No,S,https://www.shl.com/solutions/products/product-catalog/view/automata-fix-new/,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Automata_Fix.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Automata_Fix_Sample_Report.pdf
Automata - SQL (New),"A simulated query writing test that measures the ability to write SQL queries to perform DDL, DML and DCL tasks","Mid-Professional, Professional Individual Contributor",English (USA),30,Yes,No,S,https://www.shl.com/solutions/products/product-catalog/view/automata-sql-new/,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Automata_-_SQL.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Automata_SQL_Sample_Report.pdf
Automata Data Science (New),A simulated test that measures the ability to analyze and modify data using machine learning algorithms to obtain desirable results,"Mid-Professional, Professional Individual Contributor",English (USA),60,Yes,No,S,https://www.shl.com/solutions/products/product-catalog/view/automata-data-science-new/,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Automata_Data_Science.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Automata_Data_Science_Sample_Report.pdf
Automata Data Science Pro (New),A simulated test that measures the ability to analyze and modify data using machine learning algorithms to obtain desirable results,"Professional Individual Contributor, Mid-Professional",English (USA),60,Yes,No,S,https://www.shl.com/solutions/products/product-catalog/view/automata-data-science-pro-new/,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Automata_Data_Science_Pro.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Automata_Data_Science_Pro_Sample_Report.pdf
Automata Front End,"Simulation based test that measures the front-end development capabilities using HTML, CSS, and
JavaScript. The candidate is provided with 3 different sections to code in HTML, CSS and JavaScript respectively and a separate output section to view the output. This simulation is then manually scored","Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor, Manager",English (USA),30,Yes,No,S,https://www.shl.com/solutions/products/product-catalog/view/automata-front-end/,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Automata_Frontend.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Automata_Front_End_Sample_Detailed_Report.pdf
Automata Pro (New),"An AI-powered coding simulation assessment that evaluates candidate’s programming ability. Offers a familiar IDE environment available in over 40 different programming languages and tests candidates using real-world coding problems.Your use of this assessment product may be subject to New York City Law 144 (Regulation of the Use of Automated Employment Decision Tools) (dated July 5, 2023). Compliance with Law 144 is your responsibility.
Read more on https://www.shl.com/legal/shl-us-regulatory-compliance/","Mid-Professional, Professional Individual Contributor",English (USA),60,Yes,No,S,https://www.shl.com/solutions/products/product-catalog/view/automata-pro-new/,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Automata_Pro.pdf
Automata Selenium,A coding simulation assessment that evaluates the ability to conduct tasks related to automation testing using Selenium scripts,"Entry-Level, Graduate, Manager, Mid-Professional, Professional Individual Contributor",English (USA),60,Yes,No,S,https://www.shl.com/solutions/products/product-catalog/view/automata-selenium/,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Automata_Selenium_(1)_(1).pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Automata_Selenium_Sample_Report.pdf
Automation Anywhere RPA Development (New),"Multi-choice test that measures the knowledge of Automation Anywhere dash board and task editor, control room, key commands, bots and Automation Anywhere client","Mid-Professional, Professional Individual Contributor",English (USA),8,Yes,No,K,https://www.shl.com/solutions/products/product-catalog/view/automation-anywhere-rpa-development-new/,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Automation_Anywhere_RPA_Development_(New).pdf
Automotive Engineering (New),"Multi-choice test that measures the knowledge of auto engine classification, engine fuel system, auto-vehicle technology, maintenance, inspection and troubleshooting","Graduate, Mid-Professional, Professional Individual Contributor",English (USA),13,Yes,No,K,https://www.shl.com/solutions/products/product-catalog/view/automotive-engineering-new/,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Automotive_Engineering_(New).pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/SHL_Automotive_Engineering_(New)_Sample_Report.pdf
Basic Biology (New),Multi choice test that measures the candidate's basic understanding of Biology,"Professional Individual Contributor, Graduate, Mid-Professional",English (USA),6,Yes,No,K,https://www.shl.com/solutions/products/product-catalog/view/basic-biology-new/,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Basic_Biology_(New).pdf
Basic Computer Literacy (Windows 10) (New),"The Basic Computer Literacy (Windows 10) simulation measures knowledge of general computer terminology, processes, and applications and the ability to perform certain operations in a simulated environment resembling the actual application. This simulation consists of both multiple choice and simulation-based questions, and includes the following topics: Application Software, Computer Terms, Internet and Email, Managing Files, Operating System, and Parts of the Computer",Entry-Level,English (USA),30,Yes,No,S K,https://www.shl.com/solutions/products/product-catalog/view/basic-computer-literacy-windows-10-new/,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Basic_Computer_Literacy_(Windows_10).pdf
Basic Statistics (New),"Multi-choice test that measures the knowledge of statistical methods, exploratory analysis, basics of probability, standard distributions and statistical testing","Graduate, Mid-Professional, Professional Individual Contributor",English (USA),10,Yes,No,K,https://www.shl.com/solutions/products/product-catalog/view/basic-statistics-new/,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Basic_Statistics_(New).pdf
Biochemistry (New),"Multi-choice test that measures the knowledge of various bio-molecules like amino acids, proteins, enzymes, carbohydrates, vitamins and nucleic acids, and concepts of bioenergetics and metabolism","Graduate, Mid-Professional, Professional Individual Contributor",English (USA),8,Yes,No,K,https://www.shl.com/solutions/products/product-catalog/view/biochemistry-new/,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Biochemistry_(New).pdf
Biotech Lab Techniques (New),"Multi-choice test that measures the knowledge of biophysical techniques, bio-processing and separation techniques like chromatography and electrophoresis","Graduate, Professional Individual Contributor, Mid-Professional",English (USA),5,Yes,No,K,https://www.shl.com/solutions/products/product-catalog/view/biotech-lab-techniques-new/,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Biotech_Lab_Techniques_(New).pdf
BizTalk (New),"Multi-choice test that measures the knowledge of BizTalk architecture, pipelines, adapters, business process techniques and BizTalk administration","Mid-Professional, Professional Individual Contributor",English (USA),16,Yes,No,K,https://www.shl.com/solutions/products/product-catalog/view/biztalk-new/,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/BizTalk_(New).pdf
Business Communication (adaptive),"This is an adaptive test that measures knowledge of communicating in the workplace. It measures the skills necessary to communicate effectively with coworkers at all levels and with external business contacts. Designed for the average business worker, this test includes the following topics: Electronic Communication, Employment Communication, Listening, Meetings, Nonverbal Communication, Verbal Communication, and Written Communication","Entry-Level, Front Line Manager, Manager, Mid-Professional, Professional Individual Contributor",English (USA),24,Yes,Yes,K,https://www.shl.com/solutions/products/product-catalog/view/business-communication-adaptive/,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Fact_Sheet_Business_Communication_(adaptive).pdf
Business Communications,"This test measures the candidate's knowledge of communicating in the workplace.  It measures the skills necessary to communicate effectively with coworkers at all levels and with external business contacts. Designed for the average business worker, this test includes the following topics: Electronic Communication, Employment Communication, Listening, Meetings, Nonverbal Communication, Verbal Communication, and Written Communication. This version of the test is not adaptive",N/A,English (USA),35,Yes,No,K,https://www.shl.com/solutions/products/product-catalog/view/business-communications/,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Fact_Sheet_Business_Communications.pdf
C Programming (New),"Multi-choice test that measures the knowledge of C programming basics, functions, arrays, composed data types, and advanced C concepts like SLF, file handling and dynamic memory","Mid-Professional, Professional Individual Contributor",English (USA),10,Yes,No,K,https://www.shl.com/solutions/products/product-catalog/view/c-programming-new/,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/C_Programming_(New).pdf
C# Programming (New),"Multi-choice test that measures the knowledge of C# programming structure, functions, collections, enumeration, exception handling, OOPs constructs, inheritance, event handling and operator overloading","Mid-Professional, Professional Individual Contributor",English (USA),9,Yes,No,K,https://www.shl.com/solutions/products/product-catalog/view/c-programming-new-4039/,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Csharp_Programming_(New).pdf
C++ Programming (New),Multi-choice test that measures the knowledge of programming in the C++ language and the ability to use the C++ standard library to write code,"Mid-Professional, Professional Individual Contributor",English (USA),10,Yes,No,K,https://www.shl.com/solutions/products/product-catalog/view/c-programming-new-4122/,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/C++_Programming_(New).pdf
COBOL Programming (New),"Multi-choice test that measures the knowledge of COBOL programming fundamentals, programming structure and different types of application processing","Mid-Professional, Professional Individual Contributor",English (USA),10,Yes,No,K,https://www.shl.com/solutions/products/product-catalog/view/cobol-programming-new/,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/COBOL_Programming_(New).pdf
CSS3 (New),Multi-choice test that measures the knowledge of CSS3 and its application in providing style to web documents,"Mid-Professional, Professional Individual Contributor",English (USA),8,Yes,No,K,https://www.shl.com/solutions/products/product-catalog/view/css3-new/,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/CSS3_(New).pdf
Cardiology and Diabetes Management (New),"Multi-choice test that measures the knowledge of how to control and manage cardiovascular diseases and diabetes, and understanding of the diagnostic tests used for them","Graduate, Mid-Professional, Professional Individual Contributor",English (USA),4,Yes,No,K,https://www.shl.com/solutions/products/product-catalog/view/cardiology-and-diabetes-management-new/,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Cardiology_and_Diabetes_Management_(New).pdf
